"ID","Pokemon","Family","Shadow","Little_Rank","Master_Rank","Ultra_Rank","Great_Rank","Little_IVs","Master_IVs","Ultra_IVs","Great_IVs","Little_Level","Master_Level","Ultra_Level","Great_Level","Little_CP","Master_CP","Ultra_CP","Great_CP","Little_MoveSet","Master_MoveSet","Ultra_MoveSet","Great_MoveSet","Evo_Fam","Evo_Next"
"3","Venusaur","Bulbasaur","FALSE",,"20",,,,"15/15/15",,,,"50",,,,"3075",,,,"Vine Whip, Frenzy Plant, Sludge",,,"1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"47",,,,"15/15/15",,,,"50",,,,"3075",,,,"Vine Whip, Frenzy Plant, Sludge",,,"1;2;3","3"
"6","Charizard","Charmander","FALSE",,"127",,,,"15/15/15",,,,"50",,,,"3266",,,,"Dragon Breath, Blast Burn, Air Cutter",,,"4;5;6","6"
"6","Charizard (Shadow)","Charmander","TRUE",,"119",,,,"15/15/15",,,,"50",,,,"3266",,,,"Dragon Breath, Blast Burn, Air Cutter",,,"4;5;6","6"
"9","Blastoise","Squirtle","FALSE",,"98",,,,"15/15/15",,,,"50",,,,"2788",,,,"Rollout, Hydro Cannon, Ice Beam",,,"7;8;9","9"
"9","Blastoise (Shadow)","Squirtle","TRUE",,"145",,,,"15/15/15",,,,"50",,,,"2788",,,,"Rollout, Hydro Cannon, Ice Beam",,,"7;8;9","9"
"59","Arcanine","Growlithe","FALSE",,"201",,,,"15/15/15",,,,"50",,,,"3425",,,,"Snarl, Wild Charge, Crunch",,,"58;59","59"
"59","Arcanine (Hisuian)","Growlithe","FALSE",,"240",,,,"15/15/15",,,,"50",,,,"3556",,,,"Snarl, Wild Charge, Rock Slide",,,"58;59","59"
"59","Arcanine (Shadow)","Growlithe","TRUE",,"217",,,,"15/15/15",,,,"50",,,,"3425",,,,"Snarl, Wild Charge, Crunch",,,"58;59","59"
"62","Poliwrath","Poliwag","FALSE",,"164",,,,"15/15/15",,,,"50",,,,"2923",,,,"Counter, Scald, Icy Wind",,,"60;61;62","62"
"62","Poliwrath (Shadow)","Poliwag","TRUE",,"179",,,,"15/15/15",,,,"50",,,,"2923",,,,"Counter, Scald, Icy Wind",,,"60;61;62","62"
"65","Alakazam","Abra","FALSE",,"252",,,,"15/15/15",,,,"50",,,,"3456",,,,"Counter, Fire Punch, Shadow Ball",,,"63;64;65","65"
"65","Alakazam (Shadow)","Abra","TRUE",,"250",,,,"15/15/15",,,,"50",,,,"3456",,,,"Counter, Fire Punch, Shadow Ball",,,"63;64;65","65"
"68","Machamp","Machop","FALSE",,"85",,,,"15/15/15",,,,"50",,,,"3455",,,,"Karate Chop, Cross Chop, Stone Edge",,,"66;67;68","68"
"68","Machamp (Shadow)","Machop","TRUE",,"72",,,,"15/15/15",,,,"50",,,,"3455",,,,"Karate Chop, Cross Chop, Stone Edge",,,"66;67;68","68"
"73","Tentacruel","Tentacool","FALSE",,"130",,,,"15/15/15",,,,"50",,,,"2738",,,,"Poison Jab, Scald, Blizzard",,,"72;73","73"
"73","Tentacruel (Shadow)","Tentacool","TRUE",,"157",,,,"15/15/15",,,,"50",,,,"2738",,,,"Poison Jab, Scald, Blizzard",,,"72;73","73"
"76","Golem","Geodude","FALSE",,"233",,,,"15/15/15",,,,"50",,,,"3334",,,,"Mud Shot, Stone Edge, Rock Blast",,,"74;75;76","76"
"76","Golem (Alolan)","Geodude","FALSE",,"136",,,,"15/15/15",,,,"50",,,,"3334",,,,"Volt Switch, Wild Charge, Stone Edge",,,"74;75;76","76"
"76","Golem (Alolan) (Shadow)","Geodude","TRUE",,"147",,,,"15/15/15",,,,"50",,,,"3334",,,,"Volt Switch, Wild Charge, Stone Edge",,,"74;75;76","76"
"76","Golem (Shadow)","Geodude","TRUE",,"220",,,,"15/15/15",,,,"50",,,,"3334",,,,"Mud Shot, Stone Edge, Rock Blast",,,"74;75;76","76"
"80","Slowbro","Slowpoke","FALSE",,"180",,,,"15/15/15",,,,"50",,,,"2877",,,,"Confusion, Surf, Ice Beam",,,"79;80","80"
"80","Slowbro (Shadow)","Slowpoke","TRUE",,"219",,,,"15/15/15",,,,"50",,,,"2877",,,,"Confusion, Surf, Ice Beam",,,"79;80","80"
"89","Muk","Grimer","FALSE",,"104",,,,"15/15/15",,,,"50",,,,"3117",,,,"Poison Jab, Dark Pulse, Thunder Punch",,,"88;89","89"
"89","Muk (Alolan)","Grimer","FALSE",,"114",,,,"15/15/15",,,,"50",,,,"3117",,,,"Poison Jab, Dark Pulse, Sludge Wave",,,"88;89","89"
"89","Muk (Alolan) (Shadow)","Grimer","TRUE",,"142",,,,"15/15/15",,,,"50",,,,"3117",,,,"Poison Jab, Dark Pulse, Sludge Wave",,,"88;89","89"
"89","Muk (Shadow)","Grimer","TRUE",,"83",,,,"15/15/15",,,,"50",,,,"3117",,,,"Poison Jab, Dark Pulse, Thunder Punch",,,"88;89","89"
"103","Exeggutor","Exeggcute","FALSE",,"106",,,,"15/15/15",,,,"50",,,,"3408",,,,"Confusion, Seed Bomb, Psychic",,,"102;103","103"
