"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Ultra_Rank","Master_Rank","Little_IVs","Great_IVs","Ultra_IVs","Master_IVs","Little_Level","Great_Level","Ultra_Level","Master_Level","Little_CP","Great_CP","Ultra_CP","Master_CP","Little_MoveSet","Great_MoveSet","Ultra_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next"
"1","Bulbasaur","Bulbasaur","FALSE","910","964",,,"0/11/15","15/15/15",,,"18","50",,,"499","1260",,,"Vine Whip, Power Whip, Sludge Bomb","Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","1;2;3"
"1","Bulbasaur (Shadow)","Bulbasaur","TRUE",,"1000",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","1;2;3"
"2","Ivysaur","Bulbasaur","FALSE","373","489",,,"0/10/15","0/13/14",,,"11.5","38.5",,,"498","1500",,,"Razor Leaf, Power Whip, Sludge Bomb","Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"2","Ivysaur (Shadow)","Bulbasaur","TRUE","265","560",,,"0/10/15","0/13/14",,,"11.5","38.5",,,"498","1500",,,"Razor Leaf, Frustration, Power Whip","Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"3","Venusaur","Bulbasaur","FALSE","379","203","127","263","3/15/14","0/14/11","1/15/14","15/15/15","7","21","39","50","500","1500","2500","3075","Razor Leaf, Frenzy Plant, Petal Blizzard","Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant[etm], Sludge Bomb","1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"285","135","258",,"0/14/11","1/15/14","15/15/15",,"21","39","50",,"1500","2500","3075",,"Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant[etm], Sludge Bomb","1;2;3","3"
"5","Charmeleon","Charmander","FALSE","328","590",,,"1/15/15","0/13/15",,,"11.5","40",,,"500","1500",,,"Ember, Fire Punch, Flamethrower","Ember, Fire Punch, Return",,,"4;5;6","5;6"
"5","Charmeleon (Shadow)","Charmander","TRUE","491","475",,,"1/15/15","0/13/15",,,"11.5","40",,,"500","1500",,,"Ember, Fire Punch, Flamethrower","Ember, Fire Punch, Flamethrower",,,"4;5;6","5;6"
"6","Charizard","Charmander","FALSE","571","346","245","218","6/15/14","0/15/13","0/13/15","15/15/15","6.5","19.5","35","50","499","1498","2500","3266","Air Slash, Air Cutter, Blast Burn","Ember, Blast Burn, Dragon Claw","Ember, Blast Burn, Dragon Claw","Dragon Breath[etm], Blast Burn[etm], Dragon Claw","4;5;6","6"
"6","Charizard (Shadow)","Charmander","TRUE",,"230","278","170",,"0/15/13","0/13/15","15/15/15",,"19.5","35","50",,"1498","2500","3266",,"Ember, Blast Burn, Dragon Claw","Ember, Blast Burn, Dragon Claw","Dragon Breath[etm], Blast Burn[etm], Dragon Claw","4;5;6","6"
"8","Wartortle","Squirtle","FALSE","465","265",,,"0/12/10","0/14/15",,,"13.5","50",,,"500","1496",,,"Bite, Aqua Jet, Hydro Pump","Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"8","Wartortle (Shadow)","Squirtle","TRUE","337","351",,,"0/12/10","0/14/15",,,"13.5","50",,,"500","1496",,,"Bite, Aqua Jet, Frustration","Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"9","Blastoise","Squirtle","FALSE","507","64","40","267","0/15/7","1/15/15","0/12/15","15/15/15","8","23","48.5","50","500","1500","2498","2788","Bite, Flash Cannon, Hydro Cannon","Rollout, Hydro Cannon, Skull Bash","Rollout, Hydro Cannon, Ice Beam","Water Gun, Hydro Cannon[etm], Ice Beam","7;8;9","9"
"9","Blastoise (Shadow)","Squirtle","TRUE",,"91","50","270",,"1/15/15","0/12/15","15/15/15",,"23","48.5","50",,"1500","2498","2788",,"Rollout, Hydro Cannon, Skull Bash","Rollout, Hydro Cannon, Ice Beam","Water Gun, Hydro Cannon[etm], Ice Beam","7;8;9","9"
"10","Caterpie","Caterpie","FALSE","352",,,,"15/15/15",,,,"50",,,,"494",,,,"Bug Bite, Return, Struggle",,,,"10;11;12","10;11;12"
"10","Caterpie (Shadow)","Caterpie","TRUE","258",,,,"15/15/15",,,,"50",,,,"494",,,,"Bug Bite, Frustration, Struggle",,,,"10;11;12","10;11;12"
"11","Metapod","Caterpie","FALSE","204",,,,"14/15/15",,,,"50",,,,"498",,,,"Bug Bite, Return, Struggle",,,,"10;11;12","11;12"
"11","Metapod (Shadow)","Caterpie","TRUE","138",,,,"14/15/15",,,,"50",,,,"498",,,,"Bug Bite, Frustration, Struggle",,,,"10;11;12","11;12"
"12","Butterfree","Caterpie","FALSE","432","966",,,"0/14/14","0/13/15",,,"10.5","33",,,"499","1499",,,"Bug Bite, Bug Buzz, Psychic","Bug Bite, Bug Buzz, Signal Beam",,,"10;11;12","12"
"12","Butterfree (Shadow)","Caterpie","TRUE","305","899",,,"0/14/14","0/13/15",,,"10.5","33",,,"499","1499",,,"Bug Bite, Bug Buzz, Frustration","Bug Bite, Bug Buzz, Signal Beam",,,"10;11;12","12"
"13","Weedle","Weedle","FALSE","287",,,,"13/15/15",,,,"49.5",,,,"500",,,,"Bug Bite, Return, Struggle",,,,"13;14;15","13;14;15"
